device_trusted,device_secure,location_known,access_frequency,failed_attempts,resource_sensitivity,behaviour_anomaly,label
1,1,1,5,0,10,5,0
1,1,1,8,0,20,10,0
1,1,1,10,1,15,8,0
1,1,1,6,0,30,12,0
1,1,1,12,1,25,15,0
1,1,1,7,0,20,6,0
1,1,1,15,1,35,18,0
1,1,1,9,0,40,20,0
1,1,1,11,0,30,14,0
1,1,1,5,1,15,10,0
1,1,1,20,1,40,22,0
1,1,1,4,0,10,4,0
1,1,0,25,2,40,45,1
0,1,0,30,3,60,65,1
0,0,0,40,5,80,85,1
0,0,1,35,4,75,78,1
0,1,0,50,6,90,92,1
1,0,0,28,3,70,60,1
0,0,0,60,7,95,98,1
0,1,1,45,4,85,75,1
1,0,0,32,5,65,70,1
0,0,1,55,6,90,88,1
0,1,0,38,3,80,68,1
1,0,0,42,4,75,72,1
